Name,ID
UBC Water Polo Club,334
UBC Weightlifting and Powerlifting Club,335
AMS Wing Chun Club at UBC,336
AMS Women Empowerment Club @ UBC,337
AMS Women's Reproductive Health Project @ UBC,338
AMS Young Women for STEM,339
Young Women in Business UBC,340
UBC Blood for Life,341
AMS Hui O Hawai'i at UBC,342
AMS Love Your Neighbour Club @ UBC,343
AMS Women in Sports @ UBC,344
UBC A Cappella,345
AMS Age-Link at UBC,346
AMS Artelier at UBC,347
Arts Undergraduate Society,348
UBC AVIATION CLUB,349
Best Buddies UBC,350
UBC BizChina Club,351
UBC AMS Black Student Union,352
Blank Vinyl Project,353
UBC C4 Choral Composition Club,354
AMS Campus Canines at UBC,355
AMS CAPACity @UBC,356
AMS Central American Students Association (CASAUBC) at UBC,357
UBC Conservatives,358
UBC Cubing Club,359
UBC CVC,360
UBC Data Science Club,361
designyvr,362
AMS ECHO at UBC,363
UBC Electronica,364
eProjects,365
AMS F1 Club at UBC,366
Gujarati Students' Association,367
Hong Kong Students' Association,368
Italian Student Association,369
AMS Knitting & Sewing Club at UBC,370
AMS Kurdish Club at UBC,371
Media Studies Student Association,372
Medical Laboratory Club,373
Men's Mental Health Club,374
UBC Mining Engineering Undergraduate Club,375
AMS Netball Club @ UBC,376
nwPlus,377
The AMS Pre-Optometry Club,378
UBC Pickleball Club,379
PRINT Arts and Crafts Club,380
Sargam UBC,381
UBC Science Digest,382
AMS Skateboard Club @ UBC,383
UBC Slam Poetry,384
UBC Operation Smile Club,385
Solidarity for Palestinian Human Rights,386
AMS Squash Club at UBC,387
AMS Strings Club,388
AMS Student Energy at UBC,389
Students for AI Literacy,390
UBC Tamil Student Association,391
AMS unboundED @ UBC,392
Undergraduate Mathematics Society,393
UBC UNICEF,394
UBC UX Hub,395
Vaccine Literacy Club,396
AMS Face Drama Club,397
AMS Fashion Club @ UBC,398
AMS Figure Skating Club at UBC,399
AMS Fijian Students Association at UBC,400
AMS First Generation Students Union,401
AMS Foreign Policy Association at UBC,402
AMS Golf Club at UBC,403
AMS Health and Society Student Club at UBC,404
AMS Henna Club @ UBC,405
Women in Data Science (WiDS@UBC),406
UBC Women's Lacrosse,407
AMS Women's Health Club,408
AMS Women's Reproductive Health Project,409
World Vision UBC,410
UBC YNOTFORTOTS,411
UBC Young New Democrats,412
AMS Her Fitness at UBC,413
AMS Hospitality and Leisure Club @UBC,414
AMS IRC @ UBC,415
AMS Ice Cream Club at UBC,416
AMS Innovation OnBoard (IOB) @ UBC,417
AMS InterVarsity Christian Fellowship at UBC,418
AMS Jain Students Association,419
AMS Kendama Club @ UBC,420
AMS Latino Leaders Association at UBC,421
AMS Luxury & Retail Association @ UBC,422
AMS MUO Pediatrics at UBC,423
AMS Marvel Student Association Club at UBC,424
AMS Materials Engineering Graduate Student Association (MTRL GSA) at UBC,425
AMS Medical Ethics Club @ UBC,426
AMS Medical Genetics Club,427
Chabad UBC,428
AMS Medical Imaging Club at UBC,429
AMS Minecraft Club,430
AMS Modeling Club @UBC,431
AMS Music for Mental Health at UBC,432
AMS Muaythai Club at UBC,433
AMS Muslim Womens Chapter @ UBC,434
AMS Myanmar Student Club at UBC,435
AMS Nepalese Student Association at UBC,436
AMS PRODUCT MANAGEMENT CLUB @ UBC,437
AMS Paint Club,438
AMS Peruvian Student Association at UBC,439
AMS Physics Society at UBC,440
AMS PickUpUBC At UBC,441
AMS Pilates Club,442
AMS Rave Club at UBC,443
AMS Running Club at UBC,444
AMS Sales Association at UBC,445
AMS Shooting Sports at UBC,446
AMS Socialist Fightback Students at UBC,447
AMS Spinal Cord Injury Association at UBC,448
