Name,Link,ID
Canadian Students for Sensible Drug Policy,https://amsclubs.ca/canadian-students-for-sensible-drug-policy/,77
UBC Canadian Wheelchair Club,https://amsclubs.ca/canadian-wheelchair-club/,78
Cantonese Christian Fellowship,https://amsclubs.ca/cantonese-christian-fellowship/,79
Catholic Christian Outreach,https://amsclubs.ca/catholic-christian-outreach/,80
Chemical and Biological Engineering Graduate Student Club,https://amsclubs.ca/chemical-and-biological-engineering-graduate-student-club/,81
Chemical and Biological Engineering Undergraduate Club,https://amsclubs.ca/chemical-and-biological-engineering-undergraduate-club/,82
Children's Charity at UBC,https://amsclubs.ca/childrens-charity-at-ubc/,83
Childrens Literature Student Association,https://amsclubs.ca/chrildrens-literature-student-association/,84
UBC Chinese Music Club,https://amsclubs.ca/chinese-music-club/,85
Chinese Students' Association,https://amsclubs.ca/chinese-students-association/,86
Christian Students @ UBC,https://amsclubs.ca/christian-students/,87
CiTR 101.9 FM & Discorder Magazine,https://amsclubs.ca/citr/,88
Civil Engineering Club,https://amsclubs.ca/civil-engineering/,89
Cognitive Systems Society,https://amsclubs.ca/cognitive-systems-society/,90
Combined Major in Science Student Association,https://amsclubs.ca/combined-major-in-science-student-association/,91
Computer Science Student Society,https://amsclubs.ca/csss/,92
Coptic Orthodox Student Association (COSA),https://amsclubs.ca/coptic-orthodox-student-association/,93
Creative Industries Network,https://amsclubs.ca/creative-industries-network/,94
AMS Cricket Club at UBC,https://amsclubs.ca/cricket-club/,95
AMS Curling Club at UBC,https://amsclubs.ca/curling-club/,96
UBC Dance Team,https://amsclubs.ca/ubc-dance-team/,97
UBC Dragon Boat Club,https://amsclubs.ca/dragon-boat-club/,98
Electrical and Computer Engineering Student Society,https://amsclubs.ca/electrical-and-computer-engineering-student-society/,99
AMS Bike Club at UBC,https://amsclubs.ca/bike-club/,100
AMS Bike Co-op,https://amsclubs.ca/bike-coop/,101
AMS BioInnovate at UBC,https://amsclubs.ca/bioinnovate/,102
AMS Book Club @ UBC,https://amsclubs.ca/book-club/,103
AMS Bowling Club at UBC,https://amsclubs.ca/bowling-club/,104
AMS British Students' Association at UBC,https://amsclubs.ca/british-students-association/,105
AMS Buddhism Association @ UBC,https://amsclubs.ca/buddhism-association/,106
AMS Cancer Association of UBC,https://amsclubs.ca/cancer-association/,107
AMS Casual Baseball Club at UBC,https://amsclubs.ca/casual-baseball/,108
Emerging Women in Finance,https://amsclubs.ca/emerging-women-in-finance/,109
Enactus UBC,https://amsclubs.ca/enactus/,110
Environmental Design Undergraduate Society,https://amsclubs.ca/environmental-design-undergraduate-society/,111
Environmental Engineering Student Association,https://amsclubs.ca/environmental-engineering-student-association/,112
UBC Environmental Policy Association,https://amsclubs.ca/environmental-policy-association/,113
Environmental Sciences Students' Association (ESSA),https://amsclubs.ca/environmental-sciences-students-association/,114
Exchange and International Student Club,https://amsclubs.ca/exchange-and-international-student-club/,115
AMS Feed Forward at UBC.,https://amsclubs.ca/feed-forward/,116
AMS Indigenous Business Association at UBC,https://amsclubs.ca/indigenous-business-association/,117
Friends of MSF (Medecins Sans Frontieres) UBC,https://amsclubs.ca/friends-of-msf/,118
Gado-Gado Indonesian Student Association of UBC,https://amsclubs.ca/gad-gado-indonesian-student-association/,119
AMS Game Development Association,https://amsclubs.ca/game-development-association/,120
"Gender, Race, Sexuality, and Social Justice Undergraduate Society",https://amsclubs.ca/grsj-undergraduate-society/,121
Geography Students' Association,https://amsclubs.ca/geography-students-association/,122
Georox,https://amsclubs.ca/georox/,123
